nonself,,,,,,,
aiA,User1,User2,User3,user,,,
0,0.333333,0.333333,0.333333,Borys Lang,,,
1,1,0,0,Attack Helicopter,,,
2,1,0,0,Borys Lang,,,
3,1,0,0,Attack Helicopter,,,
4,1,0,0,Borys Lang,,,
5,0.329998,0.670002,0,manymagpie,,,
6,0.630354,0.369646,0,Attack Helicopter,,,
7,0.815824,0.184176,0,Borys Lang,,,
8,0.465664,0.534336,0,Attack Helicopter,,,
9,0.611496,0.388504,0,Borys Lang,,,
10,0.580206,0.419794,0,Attack Helicopter,,,
11,0.317089,0.682911,0,manymagpie,,,
12,0.643703,0.356297,0,manymagpie,,,
13,0.571248,0.428752,0,Borys Lang,,,
14,0.278036,0.721964,0,manymagpie,,,
15,0.697363,0.302637,0,Borys Lang,,,
16,0.186595,0.813405,0,manymagpie,,,
17,0.441582,0.558418,0,Borys Lang,,,
18,0.53501,0.46499,0,Attack Helicopter,,,
19,0.912152,0.087848,0,manymagpie,,,
20,0.535902,0.464098,0,Attack Helicopter,,,
21,0.426037,0.573963,0,Borys Lang,,,
22,0.362833,0.201965,0.435202,moonmoth,,,
23,0.434901,0.398513,0.166585,Attack Helicopter,,,
24,0.405357,0.446528,0.148115,manymagpie,,,
25,0.34982,0.492528,0.157652,manymagpie,,,
26,0.350444,0.210986,0.43857,Attack Helicopter,,,
27,0.236743,0.097146,0.66611,Borys Lang,,,
28,0.213533,0.532284,0.254183,Attack Helicopter,,,
29,0.358382,0.240922,0.400696,manymagpie,,,
30,0.304038,0.364902,0.331059,Attack Helicopter,,,
31,0.304543,0.364587,0.33087,Attack Helicopter,,,
32,0.452514,0.09849,0.448995,manymagpie,,,
33,0.347835,0.283936,0.368229,moonmoth,,,
34,0.529291,0.278806,0.191904,Attack Helicopter,,,
35,0.190571,0.19945,0.609979,Attack Helicopter,,,
36,0.216057,0.251325,0.532618,Attack Helicopter,,,
37,0.128415,0.136795,0.73479,Attack Helicopter,,,
38,0.17721,0.178852,0.643938,Attack Helicopter,,,
39,0.123572,0.122986,0.753442,Attack Helicopter,,,
40,0.166332,0.656276,0.177393,moonmoth,,,
41,0.317502,0.361618,0.32088,Borys Lang,,,
42,0.056555,0.572688,0.370756,manymagpie,,,
43,0.343522,0.23411,0.422368,Borys Lang,,,
44,0.154054,0.476975,0.368971,Attack Helicopter,,,
45,0.325169,0.439546,0.235285,Borys Lang,,,
46,0.491182,0.312494,0.196324,manymagpie,,,
47,0.084693,0.116826,0.798481,Attack Helicopter,,,
48,0.375271,0.19878,0.425949,Borys Lang,,,
49,0.461679,0.261439,0.276882,manymagpie,,,
50,0.322028,0.240476,0.437496,Attack Helicopter,,,
51,0.121256,0.579623,0.299121,Borys Lang,,,
52,0.524698,0.167642,0.30766,manymagpie,,,
53,0.508135,0.184951,0.306914,Attack Helicopter,,,
54,0.201138,0.577493,0.221369,manymagpie,,,
55,0.224746,0.273401,0.501853,Borys Lang,,,
56,0.256674,0.454772,0.288554,manymagpie,,,
57,0.440419,0.348365,0.211216,Borys Lang,,,
58,0.451033,0.275693,0.273274,Borys Lang,,,
59,0.493772,0.308373,0.197855,Borys Lang,,,
60,0.381086,0.367346,0.251568,Attack Helicopter,,,
61,0.522617,0.257153,0.22023,manymagpie,,,
62,0.2706,0.220551,0.508849,Attack Helicopter,,,
63,0.196207,0.230787,0.573006,Borys Lang,,,
64,0.345454,0.328201,0.326346,Attack Helicopter,,,
65,0.288889,0.080257,0.630853,Attack Helicopter,,,
66,0.449205,0.30847,0.242325,moonmoth,,,
67,0.265246,0.213591,0.521163,manymagpie,,,
68,0.416414,0.257144,0.326441,Attack Helicopter,,,
69,0.269763,0.274361,0.455876,Borys Lang,,,
70,0.09025,0.262995,0.646755,Borys Lang,,,
71,0.460512,0.149737,0.38975,Attack Helicopter,,,
children_devicesA,User1,User2,User3,user,,,
0,0.333333,0.333333,0.333333,Attack Helicopter,,,
1,1,0,0,Borys Lang,,,
2,1,0,0,Borys Lang,,,
3,0.673629,0.326371,0,manymagpie,,,
4,0.378084,0.621916,0,Attack Helicopter,,,
5,0.595296,0.404704,0,manymagpie,,,
6,0.638439,0.361561,0,Borys Lang,,,
7,0.723053,0.276947,0,Borys Lang,,,
8,0.366486,0.387124,0.24639,moonmoth,,,
9,0.755447,0.136672,0.107881,Attack Helicopter,,,
10,0.336593,0.177254,0.486152,Borys Lang,,,
11,0.598147,0.168556,0.233297,Borys Lang,,,
12,0.360883,0.385113,0.254004,manymagpie,,,
13,0.314955,0.183969,0.501076,Borys Lang,,,
14,0.25696,0.578953,0.164086,Borys Lang,,,
15,0.727765,0.129611,0.142624,manymagpie,,,
16,0.347651,0.238051,0.414298,moonmoth,,,
17,0.27532,0.303334,0.421346,Borys Lang,,,
18,0.304298,0.385726,0.309976,manymagpie,,,
19,0.438791,0.317946,0.243264,Borys Lang,,,
20,0.480356,0.226418,0.293226,Attack Helicopter,,,
21,0.296696,0.451965,0.251339,Borys Lang,,,
22,0.266935,0.212526,0.520539,Attack Helicopter,,,
