self,,,,,,,
aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
0,1,0,0,0,Borys Lang,,
1,0.288293014,0.711706986,0,0,Attack Helicopter,,
2,0.670025805,0.329974195,0,0,Borys Lang,,
3,0.234384756,0.765615244,0,0,Attack Helicopter,,
4,0.710523365,0.289476635,0,0,Borys Lang,,
5,0.156677058,0.384921024,0.458401918,0,manymagpie,,
6,0.288713625,0.535753452,0.175532923,0,Attack Helicopter,,
7,0.447704837,0.397874029,0.154421134,0,Borys Lang,,
8,0.20726976,0.455065712,0.337664528,0,Attack Helicopter,,
9,0.35907288,0.450348709,0.190578411,0,Borys Lang,,
10,0.26823254,0.552654284,0.179113176,0,Attack Helicopter,,
11,0.152915797,0.337532614,0.509551589,0,manymagpie,,
12,0.310061344,0.219840218,0.470098438,0,manymagpie,,
13,0.668084287,0.197334825,0.134580888,0,Borys Lang,,
14,0.109041399,0.277820387,0.613138214,0,manymagpie,,
15,0.502822182,0.363352942,0.133824876,0,Borys Lang,,
16,0.197630686,0.36234761,0.440021704,0,manymagpie,,
17,0.421407727,0.307207941,0.271384332,0,Borys Lang,,
18,0.151233664,0.718305498,0.130460838,0,Attack Helicopter,,
19,0.391489681,0.104734257,0.503776062,0,manymagpie,,
20,0.236968554,0.572822498,0.190208949,0,Attack Helicopter,,
21,0.407472966,0.161043713,0.431483321,0,Borys Lang,,
22,0.193623192,0.111055381,0.260631157,0.43469027,moonmoth,,
23,0.316072103,0.354924857,0.200700027,0.128303013,Attack Helicopter,,
24,0.221935549,0.402166988,0.290447511,0.085449952,manymagpie,,
25,0.193528731,0.333041698,0.374590854,0.098838717,manymagpie,,
26,0.185688248,0.409962911,0.140778471,0.26357037,Attack Helicopter,,
27,0.302513545,0.141017897,0.071114435,0.485354124,Borys Lang,,
28,0.082122894,0.305924606,0.517422769,0.094529731,Attack Helicopter,,
29,0.210336188,0.114964552,0.329352872,0.345346388,manymagpie,,
30,0.101424966,0.67022392,0.119708544,0.10864257,Attack Helicopter,,
31,0.102525928,0.66790708,0.119991118,0.109575874,Attack Helicopter,,
32,0.315929755,0.047943142,0.345423693,0.29070341,manymagpie,,
33,0.183423739,0.127281007,0.169020746,0.520274508,moonmoth,,
34,0.170731785,0.381993419,0.347029197,0.1002456,Attack Helicopter,,
35,0.110814076,0.479872645,0.103966237,0.305347042,Attack Helicopter,,
36,0.156092388,0.432316685,0.188926541,0.222664386,Attack Helicopter,,
37,0.095349916,0.293409844,0.093685982,0.517554258,Attack Helicopter,,
38,0.111544291,0.460158739,0.103690851,0.324606119,Attack Helicopter,,
39,0.103179246,0.365941917,0.094897813,0.435981024,Attack Helicopter,,
