aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
0,1,0,0,0,Borys Lang,,
1,0.288293,0.711707,0,0,Attack Helicopter,,
2,0.670026,0.329974,0,0,Borys Lang,,
3,0.234385,0.765615,0,0,Attack Helicopter,,
4,0.710523,0.289477,0,0,Borys Lang,,
5,0.156677,0.384921,0.458402,0,manymagpie,,
6,0.288714,0.535753,0.175533,0,Attack Helicopter,,
7,0.447705,0.397874,0.154421,0,Borys Lang,,
8,0.20727,0.455066,0.337665,0,Attack Helicopter,,
9,0.359073,0.450349,0.190578,0,Borys Lang,,
10,0.268233,0.552654,0.179113,0,Attack Helicopter,,
11,0.152916,0.337533,0.509552,0,manymagpie,,
12,0.310061,0.21984,0.470098,0,manymagpie,,
13,0.668084,0.197335,0.134581,0,Borys Lang,,
14,0.109041,0.27782,0.613138,0,manymagpie,,
15,0.502822,0.363353,0.133825,0,Borys Lang,,
16,0.197631,0.362348,0.440022,0,manymagpie,,
17,0.421408,0.307208,0.271384,0,Borys Lang,,
18,0.151234,0.718305,0.130461,0,Attack Helicopter,,
19,0.39149,0.104734,0.503776,0,manymagpie,,
20,0.236969,0.572822,0.190209,0,Attack Helicopter,,
21,0.407473,0.161044,0.431483,0,Borys Lang,,
22,0.193623,0.111055,0.260631,0.43469,moonmoth,,
23,0.316072,0.354925,0.2007,0.128303,Attack Helicopter,,
24,0.221936,0.402167,0.290448,0.08545,manymagpie,,
25,0.193529,0.333042,0.374591,0.098839,manymagpie,,
26,0.185688,0.409963,0.140778,0.26357,Attack Helicopter,,
27,0.302514,0.141018,0.071114,0.485354,Borys Lang,,
28,0.082123,0.305925,0.517423,0.09453,Attack Helicopter,,
29,0.210336,0.114965,0.329353,0.345346,manymagpie,,
30,0.101425,0.670224,0.119709,0.108643,Attack Helicopter,,
31,0.102526,0.667907,0.119991,0.109576,Attack Helicopter,,
32,0.31593,0.047943,0.345424,0.290703,manymagpie,,
33,0.183424,0.127281,0.169021,0.520275,moonmoth,,
34,0.170732,0.381993,0.347029,0.100246,Attack Helicopter,,
35,0.110814,0.479873,0.103966,0.305347,Attack Helicopter,,
36,0.156092,0.432317,0.188927,0.222664,Attack Helicopter,,
37,0.09535,0.29341,0.093686,0.517554,Attack Helicopter,,
38,0.111544,0.460159,0.103691,0.324606,Attack Helicopter,,
39,0.103179,0.365942,0.094898,0.435981,Attack Helicopter,,
40,0.100082,0.37541,0.096333,0.428175,moonmoth,,
41,0.719364,0.080234,0.12225,0.078153,Borys Lang,,
42,0.062562,0.250954,0.501794,0.18469,manymagpie,,
43,0.534818,0.163656,0.109995,0.191531,Borys Lang,,
44,0.096131,0.407394,0.280843,0.215631,Attack Helicopter,,
45,0.543787,0.157336,0.188255,0.110622,Borys Lang,,
46,0.272745,0.178949,0.439403,0.108903,manymagpie,,
47,0.058199,0.294137,0.073653,0.574011,Attack Helicopter,,
48,0.39271,0.25902,0.128414,0.219856,Borys Lang,,
49,0.22108,0.154827,0.465465,0.158629,manymagpie,,
50,0.156649,0.535795,0.103484,0.204073,Attack Helicopter,,
51,0.316741,0.066251,0.484316,0.132692,Borys Lang,,
52,0.326895,0.07869,0.464569,0.129846,manymagpie,,
53,0.308994,0.345322,0.140776,0.204908,Attack Helicopter,,
54,0.233853,0.317269,0.287109,0.161768,manymagpie,,
55,0.339997,0.159953,0.154907,0.345144,Borys Lang,,
56,0.134192,0.291787,0.429666,0.144355,manymagpie,,
57,0.327783,0.334302,0.204498,0.133416,Borys Lang,,
58,0.27909,0.429456,0.139627,0.151826,Borys Lang,,
59,0.356686,0.303529,0.19754,0.142245,Borys Lang,,
60,0.141952,0.640003,0.11668,0.101366,Attack Helicopter,,
61,0.378204,0.099005,0.401298,0.121493,manymagpie,,
62,0.116573,0.581783,0.099085,0.202559,Attack Helicopter,,
63,0.417967,0.107498,0.172558,0.301977,Borys Lang,,
64,0.216651,0.340587,0.308984,0.133778,Attack Helicopter,,
65,0.2718,0.289511,0.083246,0.355444,Attack Helicopter,,
66,0.291226,0.182177,0.187646,0.338951,moonmoth,,
67,0.199681,0.130007,0.339411,0.330902,manymagpie,,
68,0.177319,0.558231,0.120641,0.143808,Attack Helicopter,,
69,0.421595,0.17246,0.165999,0.239946,Borys Lang,,
70,0.331478,0.078788,0.30592,0.283815,Borys Lang,,
71,0.351047,0.274482,0.205663,0.168808,Attack Helicopter,,
aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user,,
0,1,0,0,0,Borys Lang,,
1,0.286407305,0.713592695,0,0,Attack Helicopter,,
2,0.672709929,0.327290071,0,0,Borys Lang,,
3,0.231997759,0.768002241,0,0,Attack Helicopter,,
4,0.645540856,0.354459144,0,0,Borys Lang,,
5,0.218087371,0.300665729,0.4812469,0,manymagpie,,
6,0.403023125,0.453836107,0.143140768,0,Attack Helicopter,,
7,0.277361106,0.634729211,0.087909684,0,Borys Lang,,
8,0.17578491,0.445819505,0.378395585,0,Attack Helicopter,,
9,0.4601006,0.256863662,0.283035738,0,Borys Lang,,
10,0.275933639,0.543660842,0.180405519,0,Attack Helicopter,,
11,0.150621196,0.338951066,0.510427738,0,manymagpie,,
12,0.360175351,0.206819428,0.433005221,0,manymagpie,,
13,0.688469768,0.181314707,0.130215524,0,Borys Lang,,
14,0.101836692,0.309699744,0.588463564,0,manymagpie,,
15,0.506395857,0.349132409,0.144471734,0,Borys Lang,,
