aiA,Borys Lang,Attack Helicopter,manymagpie,moonmoth,user
0,1.0,0,0,0,Borys Lang
1,0.4967801631764717,0.5032198368235282,0,0,Attack Helicopter
2,0.5105363536380599,0.48946364636194006,0,0,Borys Lang
3,0.49551690337703097,0.504483096622969,0,0,Attack Helicopter
4,0.5047499955097472,0.4952500044902528,0,0,Borys Lang
5,0.3332161979768287,0.33106171717924643,0.33572208484392485,0,manymagpie
6,0.32769405742953933,0.3407481789287455,0.3315577636417152,0,Attack Helicopter
7,0.33657102992679166,0.33653991501074026,0.32688905506246807,0,Borys Lang
8,0.3325379762589537,0.33494506987219586,0.3325169538688505,0,Attack Helicopter
9,0.3383957645344424,0.33279192456144757,0.32881231090410995,0,Borys Lang
10,0.3363709861769818,0.3366851506983292,0.326943863124689,0,Attack Helicopter
11,0.32491276274677444,0.32960763709829816,0.34547960015492735,0,manymagpie
12,0.3318772683184869,0.3309330609642813,0.3371896707172318,0,manymagpie
13,0.5794191429821881,0.20815329319148101,0.21242756382633088,0,Borys Lang
14,0.15811347109247437,0.4191451056899228,0.42274142321760283,0,manymagpie
15,0.3354317625177695,0.33448937874406864,0.33007885873816184,0,Borys Lang
16,0.33022245084287694,0.33381757916705496,0.3359599699900681,0,manymagpie
17,0.33667171236288684,0.33402171848739565,0.3293065691497175,0,Borys Lang
18,0.33581713916249645,0.3394095903559324,0.3247732704815712,0,Attack Helicopter
19,0.3349589676585283,0.3271519916167046,0.33788904072476705,0,manymagpie
20,0.33163224747061876,0.33747912834027016,0.3308886241891111,0,Attack Helicopter
21,0.33601717024334005,0.3289118710979587,0.33507095865870123,0,Borys Lang
22,0.25309260806795125,0.2401311588776704,0.2505917994948115,0.2561844335595669,moonmoth
23,0.25008580104744965,0.2509702515431062,0.24966670988319914,0.249277237526245,Attack Helicopter
24,0.25074411502548144,0.2487828809267796,0.2518507759183348,0.24862222812940413,manymagpie
25,0.2507564927335289,0.2506795761181637,0.2512551627994227,0.24730876834888466,manymagpie
26,0.25152787342355326,0.2529251928761552,0.25114519651839995,0.24440173718189154,Attack Helicopter
27,0.2514651023160723,0.24768555996680108,0.2503733707549939,0.25047596696213276,Borys Lang
28,0.2492149075253198,0.2568527530212764,0.24505949470302557,0.2488728447503782,Attack Helicopter
29,0.25209557456202086,0.23577110348299746,0.2690206641833767,0.24311265777160498,manymagpie
30,0.22665680458942475,0.41120563085460243,0.1188760290763305,0.24326153547964233,Attack Helicopter
31,0.24496790774173438,0.29577438269954076,0.21590870346021385,0.24334900609851104,Attack Helicopter
32,0.26246153577103737,0.21351413011422216,0.26673118243670246,0.257293151678038,manymagpie
33,0.25990651181581464,0.22182877225438064,0.25776199167932895,0.2605027242504757,moonmoth
34,0.25095376701065975,0.2525786986596971,0.24744071458692984,0.2490268197427133,Attack Helicopter
35,0.25235737843548967,0.25510901355171284,0.24324461422025795,0.2492889937925395,Attack Helicopter
