Mock Discussion,Gary,Ursula,Mary,Bobby,Daisy,Alex,user
self exclusive,1.425890051648238,0.44789201892218966,0.003924074176602482,0.42797543321716125,0.5998501857570043,0.8420323774196593,
self exclusive,1.3612283441183228,0.3816811299513303,0.06988098440314286,0.32372985208343874,0.6008052682463103,0.7484933693367612,
self exclusive,1.2163945358719843,0.39632758245106525,0.008406583000578616,0.2332834782534698,0.6057002620387227,0.7653317950302785,
self exclusive,1.3245285621009117,0.39063027784571325,0.012201507648078092,0.4022287011837875,0.5270144169117391,0.7981172294991763,
self exclusive,1.364831340698519,0.373404794265444,0.024596526244780897,0.38511608823431154,0.5725496897735746,0.8051668832008575,
self exclusive,1.2758561629414615,0.40851268727265033,0.06381315273784953,0.22414221789663177,0.6566284849838583,0.739784994595772,
self exclusive,1.1570147284711683,0.4480473019337575,0.006298642310616082,0.2997526457292206,0.44871549452326775,0.8502952478418213,
self exclusive,1.2414098927306538,0.48492084246436584,0.0660671799652631,0.18816074966065707,0.6688632230310646,0.803239582538035,
self exclusive,1.0658117827117073,0.662147870147816,0.06070790568884271,0.22416121336374528,0.7380000592546729,0.7050904745522626,
self exclusive,1.119617577926625,0.5316726715908562,0.03403427846784404,0.33339698487206104,0.6878533626862072,0.6640741804270569,
self exclusive,1.5126531867563169,0.3455435239581707,0.14018263330515404,0.27245810402942394,0.612294598213817,0.8332613751660924,
self exclusive,1.0942068255323312,0.5866655856331748,0.04535364506363959,0.3276234105732153,0.6205484521296252,0.7780541935263052,
self exclusive,1.2352961872112673,0.4836298374121839,0.043992959898643075,0.3423915102162013,0.5994652978607153,0.8210621764451773,
self exclusive,1.2138319834421818,0.5228974021657796,0.03118864752851183,0.2655369414657624,0.6193270083647447,0.8206767882489424,
self exclusive,1.2507317986107391,0.33672575733736376,0.039163227997130845,0.25285603701940707,0.6075840691176987,0.7661806778081277,
self exclusive,1.0320251587168476,0.5244192275017878,0.04464246605163,0.18439817866066124,0.5467767112878744,0.8699119623217297,
welfareA,Bobby,Daisy,Ursula,Mary,Alex,Gary,user
self exclusive,1.4985699579550882,0.09580081114496508,0.1874954245490372,0.21190803827699395,0.5689256636741447,0.8094308694080221,
self exclusive,1.7585224957908898,0.07047880044246121,0.3353183862532663,0.509920760718297,0.7129598025640945,0.800481518319303,
self exclusive,1.6239000580470346,0.010140654478510536,0.14776794093375065,0.2310083397518141,0.6705861590430486,0.8802141546644332,
self exclusive,1.0347296846539786,0.8562683776038784,0.010451068324046686,0.3840345628226627,0.7368957715249737,0.7805187962342675,
self exclusive,1.4570820373043825,0.739477563709382,0.11406173281569881,0.6826271997668691,0.8263905921701409,0.8016035418924532,
self exclusive,1.771727353082502,0.00393730559773578,0.08703944958024604,0.39702903768192166,0.6099492253536275,0.8478512340294629,
self exclusive,1.816357537223311,0.1395477825964881,0.24717073435385256,0.4228185669472575,0.7840168186727509,0.9962406685536432,
self exclusive,1.2594595291326662,0.7353965228749536,0.03182878968524863,0.4218498378194452,0.5932305610457169,0.9479468634572088,
self exclusive,1.534062305063389,0.5382471950034774,0.03531202062361902,0.4828994561722212,0.7791706109424661,0.7749274123285598,
self exclusive,1.8456765939195319,0.06035158838614371,0.006349733521792661,0.42805742843171424,0.719586863250274,0.7520341571018945,
self exclusive,1.0274582854009011,0.7884867385207666,0.017242554712842972,0.443658883567951,0.490307582661431,0.8647360029794425,
self exclusive,1.7067065332527187,0.06588447752796416,0.035089752900401505,0.49940768833752625,0.49094486678254085,0.8173282085610176,
self exclusive,1.7682980811862845,0.24842519436188104,0.3709153694905185,0.4224489144075492,0.5408878663475101,0.9274514755598631,
self exclusive,2.1142427861943336,0.48329399242502363,0.22196741672385142,0.4583162121831873,0.5423704910225566,0.8522295072874173,
self exclusive,1.6890341460842286,0.2273179184105485,0.29069085731881483,0.5148104982314873,0.42415469943809864,0.8134418873229096,
self exclusive,1.8081083915772203,0.32854644451992576,0.14554983137982105,0.2943554008173456,0.4795092035591477,0.8512471740606229,
